bank_name,period,n_firms,firms,n_firms_savings,firms_savings,n_firms_borrowing,firms_borrowing,n_firms_payments,firms_payments,n_firms_credit_cards,firms_credit_cards
,2022-H2,1,Fizz,1,Fizz,0,,0,,0,
APEX High-Yield Cash Account Bank Partners List,2024-H2,1,Public,0,,0,,0,,0,
AXIOM BANK,2024-H2,1,Majority,1,Majority,0,,0,,0,
Achieve Loans (NMLS ID #1810501),2023-H1,1,Achieve,0,,1,Achieve,0,,0,
Achieve Loans (NMLS ID #1810501),2024-H2,1,Achieve,0,,1,Achieve,0,,0,
Achieve Loans (NMLS ID #1810501),2025-H2,1,Achieve,0,,1,Achieve,0,,0,
Airwallex,2023-H2,1,Jeeves,0,,0,,0,,0,
Alleghany Warehousing,2024-H2,1,Sunny Day Fund,0,,0,,0,,0,
Ally Bank,2009-H2,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2010-H1,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2011-H2,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2012-H1,1,Ally Bank,0,,0,,0,,0,
Ally Bank,2012-H2,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2014-H1,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2014-H2,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2015-H1,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2015-H2,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2016-H1,1,Ally Bank,0,,0,,0,,0,
Ally Bank,2016-H2,1,Ally Bank,0,,0,,0,,0,
Ally Bank,2017-H1,1,Ally Bank,1,Ally Bank,0,,0,,0,
Ally Bank,2021-H2,1,Ally Bank,0,,0,,0,,0,
Ally Bank,2022-H1,1,Ally Bank,0,,0,,0,,0,
Ally Bank,2023-H1,1,Ally Bank,0,,0,,0,,0,
