company,period,has_financial_service,n_financial_services,n_with_baas,n_baas_partners,baas_partners,has_baas,has_savings,has_savings_baas,has_borrowing,has_borrowing_baas,has_payments,has_payments_baas,has_credit_cards,has_credit_cards_baas,birth_category,founding_year
360 Payment Solutions,2017-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Financial Services,2011.0
360 Payment Solutions,2019-H2,1,1,1,0,,1,0,0,0,0,0,0,0,0,Financial Services,2011.0
360 Payment Solutions,2022-H1,1,1,0,0,,0,0,0,0,0,0,0,0,0,Financial Services,2011.0
360 Payment Solutions,2022-H2,1,2,0,0,,0,0,0,0,0,0,0,0,0,Financial Services,2011.0
360 Payment Solutions,2023-H1,1,2,0,0,,0,0,0,0,0,0,0,0,0,Financial Services,2011.0
360 Payment Solutions,2023-H2,1,2,0,0,,0,0,0,0,0,0,0,0,0,Financial Services,2011.0
7-Eleven,2018-H1,1,1,0,0,,0,0,0,0,0,0,0,0,0,Commerce & Retail,1928.0
7-Eleven,2018-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Commerce & Retail,1928.0
7-Eleven,2019-H2,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2020-H2,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2021-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2021-H2,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2022-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2022-H2,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2023-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2023-H2,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2024-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2024-H2,1,2,0,0,,0,1,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2025-H1,1,2,0,0,,0,1,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2025-H2,1,2,0,0,,0,1,0,0,0,1,0,0,0,Commerce & Retail,1928.0
7-Eleven,2026-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Commerce & Retail,1928.0
AAA,2020-H2,1,4,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1902.0
AAA,2021-H1,1,5,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1902.0
AAA,2021-H2,1,4,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1902.0
AAA,2022-H1,1,5,1,1,"Bank of America, N.A.",1,0,0,0,0,0,0,1,1,Other Services,1902.0
AAA,2022-H2,1,2,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1902.0
AAA,2023-H1,1,10,2,1,Comenity Capital Bank,1,0,0,0,0,0,0,1,1,Other Services,1902.0
AAA,2023-H2,1,9,1,1,Comenity Capital Bank,1,0,0,0,0,0,0,1,1,Other Services,1902.0
AAA,2024-H1,1,10,1,1,Comenity Capital Bank,1,0,0,0,0,0,0,1,1,Other Services,1902.0
AAA,2024-H2,1,2,0,0,,0,0,0,0,0,0,0,1,0,Other Services,1902.0
AAA,2025-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1902.0
AAA,2026-H1,1,1,0,0,,0,0,0,0,0,0,0,1,0,Other Services,1902.0
ADP,2008-H1,1,1,0,0,,0,1,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2008-H2,1,2,0,0,,0,1,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2009-H1,1,1,0,0,,0,1,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2010-H1,1,1,0,0,,0,1,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2011-H1,1,3,0,0,,0,1,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2011-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2012-H1,1,3,0,0,,0,1,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2013-H1,1,1,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2013-H2,1,5,0,0,,0,1,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2016-H1,1,1,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2016-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2019-H1,1,3,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2019-H2,1,2,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2020-H1,1,3,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2020-H2,1,2,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2021-H1,1,2,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2021-H2,1,2,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2022-H1,1,2,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2024-H1,1,2,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
ADP,2024-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Other Services,1949.0
AGMS,2020-H1,1,2,0,0,,0,0,0,0,0,1,0,0,0,Financial Services,2003.0
AGMS,2021-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Financial Services,2003.0
AGMS,2023-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Financial Services,2003.0
AMC Theatres,2023-H2,1,1,0,0,,0,0,0,0,0,0,0,1,0,Commerce & Retail,1920.0
AMC Theatres,2024-H1,1,1,0,0,,0,0,0,0,0,0,0,1,0,Commerce & Retail,1920.0
AMC Theatres,2024-H2,1,1,0,0,,0,0,0,0,0,0,0,1,0,Commerce & Retail,1920.0
AMC Theatres,2025-H1,1,1,0,0,,0,0,0,0,0,0,0,1,0,Commerce & Retail,1920.0
AMC Theatres,2025-H2,1,1,0,0,,0,0,0,0,0,0,0,1,0,Commerce & Retail,1920.0
APPS,2011-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2012-H1,1,2,0,0,,0,0,0,0,0,1,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2016-H1,1,1,1,0,,1,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2016-H2,1,1,1,0,,1,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2017-H1,1,1,1,1,Synovus Bank,1,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2017-H2,1,1,1,1,Synovus Bank,1,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2020-H2,1,2,1,1,Synovus Bank,1,0,0,0,0,1,1,0,0,Infrastructure & Developer Tools,2005.0
APPS,2021-H1,1,1,0,0,,0,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2021-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2022-H1,1,1,0,0,,0,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2022-H2,1,1,0,0,,0,0,0,0,0,0,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2023-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2023-H2,1,1,0,0,,0,0,0,0,0,1,0,0,0,Infrastructure & Developer Tools,2005.0
APPS,2024-H1,1,1,0,0,,0,0,0,0,0,1,0,0,0,Infrastructure & Developer Tools,2005.0
Accountable,2022-H2,1,2,2,1,Celtic Bank,1,1,1,0,0,0,0,1,1,Software & SaaS,2022.0
Accountable,2023-H1,1,1,0,0,,0,1,0,0,0,0,0,0,0,Software & SaaS,2022.0
Accountable,2024-H1,1,3,2,1,"Celtic Bank, Cross River Bank",1,1,1,0,0,0,0,1,1,Software & SaaS,2022.0
Accrue Savings,2021-H2,1,1,1,1,Blue Ridge Bank N.A.,1,1,1,0,0,0,0,0,0,Advertising & Marketing,2021.0
Accrue Savings,2022-H1,1,1,1,1,Blue Ridge Bank N.A.,1,1,1,0,0,0,0,0,0,Advertising & Marketing,2021.0
